    ENTRY#        PC    TARGET      PRED      BUSY
       995    403f8c    403f58         1         1
       997    404f94    4159b0         0         1
       999    418f9c    408128         0         1
      1000    420fa0    4219b4         0         1
      1001    400fa4    400200         0         1
      1002    420fa8    420fb4         0         1
      1003    421fac    421c58         0         1
      1004    401fb0    400200         0         1
      1005    416fb4    405ab4         0         1
      1006    420fb8    420d20         0         1
      1008    421fc0    421fdc         3         1
      1009    416fc4    416fd0         0         1
      1010    420fc8    420e4c         0         1
      1011    42dfcc    42dfd8         0         1
      1012    421fd0    420c98         0         1
      1014    421fd8    4220f4         0         1
      1015    425fdc    42230c         0         1
      1017    420fe4    421320         0         1
      1018    421fe8    421ff4         0         1
      1019    420fec    42154c         0         1
      1020    406ff0    407120         0         1
      1021    402ff4    402fc0         1         1
      1022    406ff8    418350         0         1
      1023    42dffc    42b4f4         0         1
****************************************************************************

Total Hits: 124296
Total Number of Right Predictions: 100067
Number of Misses: 5834

Percent Hit: 95.31% 
Percent Miss: 4.69% 
Percent Right: 84.47% 
Percent Wrong: 15.53%
